Material,Base_Compound,Z_star,T_Debye_K,beta_derived,k_soft,Family
"(La,Ta)-TiO2",TiO2,7.3,670,1.404,0.252,rutile
(La0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Zr2O7,Gd2Zr2O7,4.5,520,1.407,0.25,pyrochlore
"(Mg,Co,Ni,Cu,Zn)1-xLixO",HEO,3.5,500,1.39,0.259,HEO
(Nb1/3Ta1/3Ti1/3)N,TiN,3.0,580,0.329,0.825,nitride
(ZrO₂)₀.₈(CeO₂)₀.₂,ZrO2,5.5,660,1.381,0.264,fluorite
3YSZ,ZrO2,5.5,660,1.381,0.264,fluorite
3YSZ-Al₂O₃ (50:50),ZrO2,5.5,660,1.381,0.264,fluorite
3YSZ-Sinterforging (5 MPa),ZrO2,5.5,660,1.381,0.264,fluorite
8YSZ,ZrO2,5.5,660,1.381,0.264,fluorite
Al2O3:TZP,ZrO2,5.5,660,1.381,0.264,fluorite
Al₂O₃-3YSZ (50:50),Al2O3,2.9,1047,1.317,0.298,corundum
B4C,B4C,2.0,1600,0.302,0.839,carbide
BaTiO3,BaTiO3,9.5,600,1.469,0.217,perovskite
BiFeO3,BiFeO3,4.5,440,1.449,0.228,perovskite
Co2MnO4,Co2MnO4,3.5,600,1.362,0.274,spinel
Doped-TiO2,TiO2,7.3,670,1.404,0.252,rutile
Doped-ZnO,ZnO,2.1,416,1.378,0.266,wurtzite
GDC,CeO2,5.4,370,1.552,0.173,fluorite
GDC10,CeO2,5.4,370,1.552,0.173,fluorite
Gd:Sm-Pr-CeO2,CeO2,5.4,370,1.552,0.173,fluorite
Irradiated-YSZ,ZrO2,5.5,660,1.381,0.264,fluorite
KNN,KNbO3,8.8,480,1.544,0.177,perovskite
LLZO,Li7La3Zr2O12,3.5,450,1.411,0.248,garnet
LLZO-RFS,Li7La3Zr2O12,3.5,450,1.411,0.248,garnet
LTO (Li4Ti5O12),Li4Ti5O12,4.0,500,1.402,0.253,spinel
MgAl2O4,MgAl2O4,2.8,850,1.325,0.294,spinel
MgAl2O4 (High-T),MgAl2O4,2.8,850,1.325,0.294,spinel
MgO-doped Al₂O₃,Al2O3,2.9,1047,1.317,0.298,corundum
MnCo2O4,MnCo2O4,3.5,600,1.362,0.274,spinel
NaNbO3,NaNbO3,8.2,550,1.473,0.215,perovskite
Ni,Ni,0.0,450,0.5,0.734,metal
Porcelain Stoneware,SiO2,2.5,290,1.49,0.206,glass
Porous-SiO2,SiO2,2.5,290,1.49,0.206,glass
Re,Re,0.0,416,0.5,0.734,metal
SDC (Sm₂O₃-doped CeO₂),CeO2,5.4,370,1.552,0.173,fluorite
SiCw/3YSZ (17.5 vol%),ZrO2,5.5,660,1.381,0.264,fluorite
SnO₂-AC (1 kHz),SnO2,4.2,650,1.364,0.273,rutile
SrFe₁₂O₁₉,SrFe12O19,3.2,550,1.368,0.271,ferrite
SrTiO3-Fe,SrTiO3,9.4,420,1.641,0.125,perovskite
SrTiO₃ (undoped),SrTiO3,9.4,420,1.641,0.125,perovskite
SrTi₁₋ₓFeₓO₃₋δ,SrTiO3,9.4,420,1.641,0.125,perovskite
TiO₂ (Single Crystal),TiO2,7.3,670,1.404,0.252,rutile
UO₂,UO2,5.8,377,1.561,0.168,actinide
W,W,0.0,343,0.5,0.734,metal
WC,WC,2.0,800,0.31,0.835,carbide
ZnO,ZnO,2.1,416,1.378,0.266,wurtzite
ZrN,ZrN,3.2,450,0.351,0.813,nitride
c-ZrO₂ (Single Crystal),ZrO2,5.5,660,1.381,0.264,fluorite
α-Al₂O₃,Al2O3,2.9,1047,1.317,0.298,corundum
α-Al₂O₃ (flash),Al2O3,2.9,1047,1.317,0.298,corundum
α-SiC,SiC,2.7,1200,0.306,0.837,carbide
