Family,k_soft,beta,alpha_res,gamma,Ea,sigma_0,r_eff,n_total,n_valid,drift
actinide-oxide,0.168,1.561,0.03,1.8,0.2,100000.0,51.3264539693981,2,1,Polaron
perovskite,0.18116666666666667,1.5361666666666667,0.8,1.4,0.5904347826086958,636.1304347826087,21.70802114837855,25,23,Polaron domain
glass_ceramic,0.206,1.49,0.2,1.5,0.84,1000.0,9.70303134807683,4,4,Ionic
oxide,0.21683333333333335,1.469833333333333,0.8,2.0,0.79,6420.0,25.358299902225433,6,5,Phonon + Electr
garnet,0.248,1.411,0.8,1.6,0.472,3440.0,23.287981988979315,5,5,Ionic + Electr
pyrochlore,0.25,1.407,0.3,1.8,0.5,1.0,0.0,1,0,Phonon + Electr
fluorite,0.251,1.4054285714285715,0.8,2.0,0.8372727272727274,40068.181818181816,13.796489599587714,24,22,Phonon + Electr
rutile,0.2625,1.384,0.8,1.8,0.525,2062.5,38.55845865663592,4,4,Phonon + Electr
composite,0.264,1.381,0.47,2.0,0.65,15000.0,19.20902085461493,2,2,Phonon + Electr
wurtzite,0.266,1.378,0.64,1.5,0.45000000000000007,3800.0,32.73797161928737,7,7,Phonon + Electr
ferrite,0.271,1.368,0.19,1.8,0.37,25000.0,30.440585124077455,1,1,Phonon + Electr
spinel,0.27780000000000005,1.3552000000000002,0.5,1.8,0.6258333333333335,3225.0,20.218700670693238,16,12,Phonon + Electr
oxide_composite,0.298,1.317,0.35,2.0,1.0,7000.0,30.27403371601843,1,1,Phonon + Electr
corundum,0.298,1.317,0.8,1.8,1.0171428571428573,442.85714285714283,5.3455211987034845,7,7,Polaron
metal,0.734,0.5,0.01,1.2,0.2933333333333334,66833.33333333333,341.02742357119786,3,3,Joule/Thermal
nitride,0.819,0.33999999999999997,0.01,1.6,0.25,20000.0,32.84029473755387,2,1,Electrical
carbide,0.8370000000000001,0.306,0.01,1.2,0.745,2895.0,3.9570172721861665,11,10,Electrical
